job_id,user,node_num,gpu_num,cpu_num,mem_per_pod_GB,shared_mem_per_pod,type,state,submit_time,start_time,end_time,fail_time,stop_time,duration,queue,gpu_time
dlctk696s0jbvitv,uf794,8,64,960,1000,100.0,Other,FAILED,2023-05-17 11:00:58+00:00,2023-05-17 11:01:08+00:00,2023-05-17 11:01:16+00:00,2023-05-17 11:01:16+00:00,,18,10.0,1152.0
dlcgiwd1g3i1cfgl,uf794,8,64,960,1000,100.0,Other,FAILED,2023-05-17 11:21:32+00:00,2023-05-17 11:21:45+00:00,2023-05-17 11:21:51+00:00,2023-05-17 11:21:51+00:00,,19,13.0,1216.0
dlc1t2ypl09b8qtp,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 11:28:42+00:00,2023-05-17 11:28:54+00:00,2023-05-17 11:30:04+00:00,,2023-05-17 11:30:04+00:00,82,12.0,5248.0
dlcj0vimc1r8uc4f,uf794,8,64,960,1000,100.0,Other,COMPLETED,2023-05-17 11:30:13+00:00,2023-05-17 11:30:25+00:00,2023-05-17 11:31:57+00:00,,,104,12.0,6656.0
dlcyu9s048ourmoe,uf794,8,64,960,1000,100.0,Other,COMPLETED,2023-05-17 11:35:26+00:00,2023-05-17 11:35:34+00:00,2023-05-17 11:36:44+00:00,,,78,8.0,4992.0
dlczvqpwnmxiqesh,uf794,8,64,960,1000,100.0,Other,FAILED,2023-05-17 11:59:00+00:00,2023-05-17 11:59:09+00:00,2023-05-17 11:59:36+00:00,2023-05-17 11:59:36+00:00,,36,9.0,2304.0
dlc17g5m9wlb3reh,uf794,8,64,960,1000,100.0,Other,FAILED,2023-05-17 12:01:33+00:00,2023-05-17 12:01:46+00:00,2023-05-17 12:01:54+00:00,2023-05-17 12:01:54+00:00,,21,13.0,1344.0
dlc1nthnus369mfa,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 12:02:32+00:00,2023-05-17 12:02:39+00:00,2023-05-17 12:10:40+00:00,,2023-05-17 12:10:40+00:00,488,7.0,31232.0
dlc1lvnbb8moxmqu,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 12:10:56+00:00,2023-05-17 12:11:05+00:00,2023-05-17 12:36:51+00:00,,2023-05-17 12:36:51+00:00,1555,9.0,99520.0
dlcol9vd0k7hr3z4,u212a,4,32,480,1000,100.0,Other,CANCELLED,2023-05-17 12:38:49+00:00,2023-05-17 12:39:00+00:00,2023-05-17 13:09:21+00:00,,2023-05-17 13:09:21+00:00,1832,11.0,58624.0
dlc1l25dz8p9g09x,u212a,16,128,1920,1000,100.0,Pretrain,CANCELLED,2023-05-17 13:02:06+00:00,2023-05-17 13:02:16+00:00,2023-05-17 13:09:16+00:00,,2023-05-17 13:09:16+00:00,430,10.0,55040.0
dlcy1fqboog8pzj4,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 13:39:07+00:00,2023-05-17 13:39:19+00:00,2023-05-17 13:44:52+00:00,,2023-05-17 13:44:52+00:00,345,12.0,22080.0
dlc1nahlacgvyizk,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 13:49:09+00:00,2023-05-17 13:49:18+00:00,2023-05-17 13:51:57+00:00,,2023-05-17 13:51:57+00:00,168,9.0,10752.0
dlcu5pmo40vr4at8,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 13:51:40+00:00,2023-05-17 13:51:48+00:00,2023-05-17 13:53:42+00:00,,2023-05-17 13:53:42+00:00,122,8.0,7808.0
dlc1oogyrogr5ii8,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 13:53:31+00:00,2023-05-17 13:53:44+00:00,2023-05-17 14:10:38+00:00,,2023-05-17 14:10:38+00:00,1027,13.0,65728.0
dlcfgjksk6j795d1,u0260,1,8,120,1600,100.0,Debug,FAILED,2023-05-17 14:16:23+00:00,2023-05-17 14:16:33+00:00,2023-05-17 14:16:39+00:00,2023-05-17 14:16:39+00:00,,16,10.0,128.0
dlc1nuutqcqt5rg8,u0260,1,8,120,1600,100.0,Debug,COMPLETED,2023-05-17 14:31:52+00:00,2023-05-17 14:32:04+00:00,2023-05-17 14:32:45+00:00,,,53,12.0,424.0
dlc1p9b210hp5lmo,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 15:27:25+00:00,2023-05-17 15:27:35+00:00,2023-05-17 15:31:04+00:00,,2023-05-17 15:31:04+00:00,219,10.0,14016.0
dlc1ajxzb8muyf7m,uf794,8,64,960,1000,100.0,Other,COMPLETED,2023-05-17 15:30:48+00:00,2023-05-17 15:31:00+00:00,2023-05-17 16:08:20+00:00,,,2252,12.0,144128.0
dlc15k83k4us6h96,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 15:39:02+00:00,2023-05-17 15:39:10+00:00,2023-05-17 15:48:10+00:00,,2023-05-17 15:48:10+00:00,548,8.0,35072.0
dlc1c815voyv7nlz,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 15:47:58+00:00,2023-05-17 15:48:06+00:00,2023-05-17 15:52:10+00:00,,2023-05-17 15:52:10+00:00,252,8.0,16128.0
dlc17s92bo8gr4bx,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 15:51:57+00:00,2023-05-17 15:52:06+00:00,2023-05-17 15:54:40+00:00,,2023-05-17 15:54:40+00:00,163,9.0,10432.0
dlcbblz448zkjvyx,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 15:54:16+00:00,2023-05-17 15:54:28+00:00,2023-05-17 15:58:25+00:00,,2023-05-17 15:58:25+00:00,249,12.0,15936.0
dlc14qgc90jjkv1l,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 16:00:19+00:00,2023-05-17 16:00:30+00:00,2023-05-17 16:06:05+00:00,,2023-05-17 16:06:05+00:00,346,11.0,22144.0
dlc1rhkg78zw6816,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 16:05:56+00:00,2023-05-17 16:06:06+00:00,2023-05-17 16:10:15+00:00,,2023-05-17 16:10:15+00:00,259,10.0,16576.0
dlc1mrsr9gb2i1de,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 16:09:55+00:00,2023-05-17 16:10:06+00:00,2023-05-17 16:13:40+00:00,,2023-05-17 16:13:40+00:00,225,11.0,14400.0
dlc1tfltl0eiy36v,uf794,8,64,960,1000,100.0,Other,CANCELLED,2023-05-17 16:18:52+00:00,2023-05-17 16:19:02+00:00,2023-05-17 16:21:15+00:00,,2023-05-17 16:21:15+00:00,143,10.0,9152.0
